order-id,purchase-date,sku,quantity-purchased
114-3478401-6620255,2022-07-22T22:16:49-07:00,36153,1.0
111-9976357-0975414,2022-07-23T06:40:05-07:00,36500,1.0
111-1750469-1774646,2022-07-23T06:46:19-07:00,24124,1.0
114-6612718-1844232,2022-07-23T07:56:52-07:00,10316,1.0
112-1027125-9108207,2022-07-23T07:54:11-07:00,36500,1.0
112-6043987-5038646,2022-07-23T08:20:54-07:00,724500,1.0
114-4076483-9207444,2022-07-23T08:28:55-07:00,724300,1.0
113-6553518-0177800,2022-07-23T10:13:18-07:00,791193,1.0
111-5817027-6659452,2022-07-23T10:23:25-07:00,42154,1.0
114-8495347-7181868,2022-07-23T11:10:46-07:00,2866,1.0
